Taxon,Population,Mother tree voucher,Year planted,Current status
Eucalyptus mimica subsp. mimica,"Newdegate, WA",188,1996,Mature
Eucalyptus minniritchi,"Mount Hermannsburg, NT",1354,1997,Mature
Eucalyptus minniritchi,"Mount Woodroffe, SA",5196,2010,Mature
Eucalyptus misella,"Lort River, WA",147,1993,Mature
Eucalyptus missilis (E. angulosa × E. cornuta),"Mermaid Point, WA",226,1993,Matured then died
Eucalyptus mitchelliana,"Mount Buffalo, VIC",574,1998,Immature
Eucalyptus moderata,"Diemals Station, WA",1563,1996,Dead
Eucalyptus moderata,"Menzies 1, WA",2182,2000,Mature
Eucalyptus moderata,"Menzies 2, WA",2183,1999,Mature
Eucalyptus moderata,"Three Springs, WA",3768,2001,Mature
Eucalyptus moderata (E. transcontinentalis subsp. semivestita),"Cadoux, WA",2230,2000,Mature
Eucalyptus moderata (E. transcontinentalis subsp. semivestita),"Dowerin, WA",1661,1997,Mature
Eucalyptus moderata (E. transcontinentalis subsp. semivestita),"Noongar, WA",3460,2002,Mature
Eucalyptus moluccana,"Gladstone, Qld",712,1994,Mature
Eucalyptus moluccana,"Mount Garnet, QLD",2506,1999,Mature
Eucalyptus molyneuxii,"Little Desert 1, VIC",2873,2000,Dead
Eucalyptus molyneuxii,"Little Desert 2, VIC",4748,2006,Dead
Eucalyptus molyneuxii,"Little Desert 3, VIC",6867,2017,Immature
Eucalyptus moorei subsp. moorei,"Blue Mountains, NSW",5256,2010,Mature
Eucalyptus moorei subsp. moorei,"Goulburn, NSW",5249,2010,Mature
Eucalyptus moorei subsp. moorei,"Nerriga, NSW",603,2010,Immature
Eucalyptus moorei subsp. moorei (E. dissita),"Gibraltar Range, NSW",2095,1998,Dead
Eucalyptus moorei subsp. moorei × E. fastigata,"Nerriga, NSW",5247,2010,Mature
Eucalyptus moorei subsp. moorei × E. macrorhyncha,,,,
Eucalyptus moorei subsp. moorei × E. stricta,"Blue Mountains, NSW",5256,2010,Immature
Eucalyptus moorei subsp. moorei × E. triflora?,"Nerriga, NSW",5243,2010,Immature
Eucalyptus moorei subsp. serpentinicola,"Curricabark, NSW",1233,1996,Mature
Eucalyptus moorei var. latiuscula,"Wadbilliga Trig, NSW",594,2010,Immature
Eucalyptus morrisbyi,"Cremorne 1, TAS",1983,2017,Immature
Eucalyptus morrisbyi,"Cremorne 2, TAS",7411,2018,Immature
Eucalyptus morrisii,"Cobar, NSW",730,1994,Mature
Eucalyptus morrisii,"Gunderbooka Range, NSW",6499,2013,Immature
Eucalyptus muelleriana,"Bodalla, NSW",1753,1997,Mature
Eucalyptus multicaulis,"Faulconbridge, NSW",7358,2018,Immature
Eucalyptus multicaulis,"Springwood, NSW",2914,2000,Dead
Eucalyptus multicaulis,"Wollemi Nat. Park, NSW",771,1998,Dead
Eucalyptus myriadena,"Hyden, WA",316,1993,Mature
Eucalyptus myriadena,"Lake Moore, WA",5596,2011,Mature
Eucalyptus myriadena (subsp. parviflora),"Forrestania, WA",321,1993,Mature
Eucalyptus nandewarica,"Mount Kapultar, NSW",6160,2013,Immature
Eucalyptus nandewarica,"Waa Gorge, NSW",6164,2013,Immature
Eucalyptus nebulosa,"Serpentine Range, TAS",6742,2017,Immature
Eucalyptus neglecta,"Omeo, VIC",2067,1998,Immature
Eucalyptus neglecta,"Porepunkah, VIC",3797,2002,Immature
Eucalyptus neutra,"Boxwood Hill, WA",1874,1997,Mature
Eucalyptus neutra,"Hyden 1, WA",315,1993,Mature
Eucalyptus neutra,"Hyden 2, WA",3441,2002,Mature
Eucalyptus neutra,"Newdegate 1, WA",1853,1997,Mature
Eucalyptus neutra,"Newdegate 2, WA",1855,1997,Mature
Eucalyptus neutra,"Wellstead, WA",218,1993,Mature
Eucalyptus newbeyi,"Beaufort Inlet, WA",212,1999,Mature
Eucalyptus nicholii,"Armidale, NSW",651,1994,Mature
Eucalyptus nicholii,"Timbarra, NSW",6194,2013,Immature
Eucalyptus nitens,"Big Badja Hill, NSW",1766,1997,Immature
Eucalyptus nitida,"Queenstown, TAS",7399,2018,Immature
Eucalyptus nitida,"Tullah, TAS",1964,2000,Matured then died
Eucalyptus nobilis,"Dorrigo, NSW",647,1994,Matured then died
Eucalyptus nobilis,"Liverpool Range, NSW",753,1994,Mature
Eucalyptus nobilis,"Liverpool Range, NSW",753,1999,Mature
Eucalyptus normantonensis,"Dajarra, QLD",4179,2002,Mature
Eucalyptus normantonensis,"MacDonnell Ranges, NT",1207,1995,Mature
Eucalyptus normantonensis,"Pollock Hills, WA",1202,1995,Mature
Eucalyptus nortonii,"Bindi, VIC",583,1994,Mature
Eucalyptus nortonii,"Bindi, VIC",583,1996,Mature
Eucalyptus nortonii,"Mudgee, NSW",2951,2000,Mature
Eucalyptus notabilis,"Blue Mountains, NSW",630,1994,Mature
Eucalyptus notabilis,"Peregrine Point, NSW",6203,2013,Immature
Eucalyptus notactiles,"Lucky Bay, WA",177,1993,Mature
Eucalyptus notactiles,"Lucky Bay, WA",177,1996,Mature
Eucalyptus notactiles,"Mount Melville, WA",220,1999,Mature
Eucalyptus notactiles,"Sandy Hook Island, WA",4605,2004,Dead
Eucalyptus nova-anglica,"Guyra, NSW",656,1994,Mature
Eucalyptus nubilis (E. fibrosa subsp. nubila),"Tara, QLD",685,1994,Mature
Eucalyptus nudicaulis,"Fountain Spring, QLD",6401,2013,Mature
Eucalyptus nudicaulis,"Mount Isa, QLD",4184,2002,Mature
Eucalyptus nutans,"Bremer Bay, WA",4800,2006,Mature
Eucalyptus obconica,"Durack, WA",6646,2015,Immature
Eucalyptus obconica,"Kununurra, WA",1930,1998,Immature
Eucalyptus obesa,"Lake Grace, WA",3724,2001,Mature
Eucalyptus obesa,"Ninety Mile Tank, WA",1109,1995,Mature
Eucalyptus obesa,"Peak Charles, WA",5478,2011,Immature
Eucalyptus obesa × E. neutra?,"Lake Grace, WA",3724,2001,Mature
Eucalyptus obliqua,"Kangaroo Island, SA",804,1995,Mature
Eucalyptus obliqua,"Tarraleah, TAS",1974,1998,Dead
Eucalyptus oblonga,"Royal Nat. Park, NSW",622,1994,Mature
Eucalyptus oblonga,"Royal Nat. Park, NSW",622,2000,Mature
Eucalyptus obtusiflora,"Coburn Station, WA",1173,1995,Mature
Eucalyptus obtusiflora (E. dongarraensis),"Coolimba, WA",266,1993,Mature
Eucalyptus obtusiflora (subsp. cowcowensis),"Korda, WA",2235,1999,Mature
Eucalyptus occidentalis,"Cape Arid, WA",1095,1995,Mature
Eucalyptus occidentalis,"Condingup, WA",170,1995,Mature
Eucalyptus occidentalis,"Condingup, WA",170,1996,Mature
Eucalyptus occidentalis,"Wellstead, WA",3556,2001,Mature
Eucalyptus ochrophloia,"Charleville, QLD",2119,1998,Immature
Eucalyptus odontocarpa,"Great Sandy Desert, WA",1199,2000,Mature
Eucalyptus odorata,"Ashbourne, SA",,1993,Mature
Eucalyptus odorata,"Boston Island, SA",936,1995,Mature
Eucalyptus odorata,"Kangaroo Island, SA",822,1995,Mature
Eucalyptus odorata (E. silvestris),"Bordertown, SA",445,1992,Mature
Eucalyptus odorata (E. silvestris),"Serviceton, VIC",2580,2000,Mature
Eucalyptus odorata × E. phenax,"Goolwa, SA",1360,1996,Mature
Eucalyptus oldfieldii,"Balpe Lakes, WA",2732,2000,Mature
Eucalyptus oldfieldii,"Mullewa, WA",274,1993,Matured then died
Eucalyptus oleosa subsp. ampliata,"Carlisle Lakes, WA",500,1994,Mature
Eucalyptus oleosa subsp. ampliata,"Kimba, SA",1408,1996,Mature
Eucalyptus oleosa subsp. ampliata,"Penong, SA",2123,2000,Mature
Eucalyptus oleosa subsp. ampliata,"Port Germein, SA",931,1995,Mature
Eucalyptus oleosa subsp. ampliata,"Wirrula, SA",2596,2000,Mature
Eucalyptus oleosa subsp. ampliata (subsp. victima),"Bute, SA",2561,2000,Mature
Eucalyptus oleosa subsp. ampliata (subsp. wylieana),"Nullarbor, SA",2135,2000,Mature
Eucalyptus oleosa subsp. ampliata (subsp. wylieana),"Toolinna Cove, WA",555,1994,Mature
Eucalyptus oleosa subsp. corvina,"Ravensthorpe 1, WA",1123,1995,Mature
Eucalyptus oleosa subsp. corvina,"Ravensthorpe 2, WA",2251,2000,Mature
Eucalyptus oleosa subsp. cylindroidea,"Lort River, WA",2259,2000,Mature
Eucalyptus oleosa subsp. cylindroidea,"Mount Ney, WA",3600,2002,Mature
Eucalyptus oleosa subsp. cylindroidea,"Scaddan, WA",1642,1997,Mature
Eucalyptus oleosa subsp. oleosa,"Coonana, WA",516,1995,Mature
Eucalyptus oleosa subsp. oleosa,"Underbool 1, VIC",2884,2002,Mature
Eucalyptus oleosa subsp. oleosa,"Underbool 2, VIC",2886,2002,Mature
Eucalyptus oleosa subsp. oleosa (subsp. repleta),"Immarna, SA",2319,2000,Mature
Eucalyptus oleosa subsp. oleosa (subsp. repleta),"Tarcoola, SA",1393,2000,Mature
Eucalyptus olida,"Gibraltar Range, NSW",661,2000,Mature
Eucalyptus oligantha,"Adelaide River, NT",2468,1999,Immature
Eucalyptus oligantha (E. fitzgeraldii),"Mount Elizabeth Station 1, WA",1919,1997,Immature
Eucalyptus oligantha (E. fitzgeraldii),"Mount Elizabeth Station 2, WA",5804,2011,Immature
Eucalyptus oligantha (E. fitzgeraldii),"Walcott Inlet, WA",5810,2011,Immature
Eucalyptus olivina,"Forrestania, WA",319,1993,Mature
Eucalyptus olivina,"South Ironcap, WA",3670,2001,Mature
Eucalyptus olsenii,"Bendethera Mountain, NSW",7367,2018,Immature
Eucalyptus olsenii,"Deua Nat. Park, NSW",597,2002,Dead
Eucalyptus ophitica,"Baryulgil, NSW",2099,1998,Mature
Eucalyptus opimiflora,"Badgingarra 1, WA",3515,2001,Mature
Eucalyptus opimiflora,"Badgingarra 2, WA",5078,2010,Mature
Eucalyptus opimiflora,"Calingiri, WA",5547,2011,Immature
Eucalyptus optima,"Balladonia 1, WA",115,1993,Mature
Eucalyptus optima,"Balladonia 2, WA",2154,2002,Mature
Eucalyptus oraria,"Dongara, WA",269,1993,Mature
Eucalyptus oraria,"Kalbarri, WA",3527,2001,Mature
Eucalyptus orbifolia,"Browns Soak, WA",7312,2018,Immature
Eucalyptus orbifolia,"Diemals Station, WA",2774,2000,Mature
Eucalyptus orbifolia,"Geeraning Rock 1, WA",5606,2011,Mature
Eucalyptus orbifolia,"Geeraning Rock 2, WA",5607,2011,Immature
Eucalyptus ordiana,"Durack, WA",6645,2015,Immature
Eucalyptus ordiana,"Woolah, WA",1934,1998,Dead
Eucalyptus oreades,"Katoomba, NSW",628,2000,Mature
Eucalyptus oreades,"Mittagong, NSW",3210,2001,Dead
Eucalyptus oreades,"Mount Victoria, NSW",7356,2018,Immature
Eucalyptus orgadophila,"Rolleston, Qld",698,1994,Mature
Eucalyptus ornata,"Hyden, WA",5040,2010,Mature
Eucalyptus ornata,"Kondinin, WA",243,1993,Mature
Eucalyptus orthostemon,"Calingiri, WA",3691,2001,Mature
Eucalyptus orthostemon,"Yealering, WA",3426,2001,Mature
Eucalyptus ovata subsp. grandiflora,"Casterton, VIC",1594,1996,Mature
Eucalyptus ovata subsp. grandiflora,"Moonlight Head, VIC",4318,2004,Mature
Eucalyptus ovata subsp. grandiflora,"Mount Burr, SA",6121,2013,Immature
Eucalyptus ovata subsp. grandiflora,"Penola, SA",6114,2013,Immature
Eucalyptus ovata subsp. ovata,"Cabbage Tree Creek, VIC",1741,1997,Mature
Eucalyptus ovata subsp. ovata,"Henty Dunes, TAS",6741,2015,Immature
Eucalyptus ovata subsp. ovata,"Kangaroo Island, SA",805,1995,Mature
Eucalyptus ovata subsp. ovata,"Port Macdonnell, SA",1717,1997,Mature
Eucalyptus ovata subsp. ovata,"South Cape, TAS",6725,2015,Immature
Eucalyptus ovularis,"Salmon Gums, WA",1107,1995,Mature
Eucalyptus oxymitra,"Birksgate Range, SA",1704,1997,Mature
Eucalyptus oxymitra,"Petermann Ranges, NT",,1993,Mature
Eucalyptus pachycalyx subsp. banyabba,"Banyabba Nature Res., NSW",2098,1998,Mature
Eucalyptus pachycalyx subsp. pachycalyx,"Herberton, QLD",1307,1997,Mature
Eucalyptus pachycalyx subsp. waajensis,"Cracow, QLD",1265,1998,Mature
Eucalyptus pachyloma,"Darkan, WA",3735,2001,Mature
Eucalyptus pachyloma,"Wellstead, WA",224,1993,Matured then died
Eucalyptus pachyphylla,"Mount Webb, WA",1203,1995,Matured then died
Eucalyptus pachyphylla,"Tanami Desert, NT",6637,2015,Immature
Eucalyptus paedoglauca,"Mount Stuart 1, QLD",1298,1998,Immature
Eucalyptus paedoglauca,"Mount Stuart 2, QLD",5121,2010,Immature
Eucalyptus paliformis,"Wadbilliga Trig, NSW",592,1994,Matured then died
Eucalyptus pallida,"Billabong, WA",7229,2017,Immature
Eucalyptus pallida,"Zuytdorp Cliffs, WA",5079,2010,Immature
Eucalyptus paludicola,"Ashbourne, SA",,1995,Mature
Eucalyptus panda,"Carnarvon Range 1, QLD",2117,1998,Mature
Eucalyptus panda,"Carnarvon Range 2, QLD",2549,1999,Immature
Eucalyptus panda,"Tara, QLD",683,1994,Mature
Eucalyptus paniculata,"Batemans Bay, NSW",2903,2000,Mature
Eucalyptus paniculata (E. placita),"Bulahdelah, NSW",643,1994,Mature
Eucalyptus paniculata (subsp. matutina),"Nelson Bay, NSW",639,1994,Mature
Eucalyptus pantoleuca,"Kununurra, WA",1931,1997,Immature
Eucalyptus parramattensis subsp. decadens,"Kurri Kurri, NSW",641,1994,Mature
Eucalyptus parramattensis subsp. parramattensis,"Sydney, NSW",3209,2001,Mature
Eucalyptus parramattensis subsp. parramattensis,"Thirlmere, NSW",1763,1997,Mature
"Eucalyptus parvula (E. parvifolia) Numeralla, NSW",,591,1997,Immature
"Eucalyptus parvula × E. viminalis? Numeralla, NSW",,591,1997,Mature
"Eucalyptus patellaris Daly Waters, NT",,1339,1996,Immature
"Eucalyptus patens Manjimup, WA",,1143,1995,Dead
"Eucalyptus patens Mundaring, WA",,4621,2004,Immature
"Eucalyptus patens Pemberton, WA",,5530,2011,Mature
"Eucalyptus pauciflora subsp. acerina Mount Gwinear, VIC",,4521,2004,Dead
"Eucalyptus pauciflora subsp. debeuzevillei Mount Ginini, ACT",,2070,1998,Dead
"Eucalyptus pauciflora subsp. hedraia Falls Creek 1, VIC",,578,2002,Dead
"Eucalyptus pauciflora subsp. hedraia Falls Creek 2, VIC",,7385,2018,Immature
"Eucalyptus pauciflora subsp. hedraia Mount Bogong, VIC",,3801,2002,Dead
"Eucalyptus pauciflora subsp. niphophila Charlotte Pass, NSW",,7371,2018,Immature
"Eucalyptus pauciflora subsp. niphophila Mount Bogong, VIC",,3800,2002,Dead
"Eucalyptus pauciflora subsp. niphophila Mount Kosciuszko, NSW",,589,2000,Dead
"Eucalyptus pauciflora subsp. parvifructa Mount William 1, VIC",,353,1998,Dead
"Eucalyptus pauciflora subsp. parvifructa Mount William 2, VIC",,7047,2017,Immature
"Eucalyptus pauciflora subsp. pauciflora × E. radiata subsp. radiata Boyd Plateau, NSW",,6283,2013,Immature
"Eucalyptus pauciflora subsp. pauciflora Meadow Flat, NSW",,7354,2018,Immature
"Eucalyptus pauciflora subsp. pauciflora Snow Gum Reserve, SA",,476,1994,Mature
"Eucalyptus pellita Cardwell, QLD",,1304,1996,Dead
"Eucalyptus pendens Badgingarra 1, WA",,256,2000,Immature
"Eucalyptus peninsularis Cummins 1, SA",,1953,1997,Mature
"Eucalyptus peninsularis Cummins 2, SA",,1955,1997,Mature
"Eucalyptus peninsularis Koppio Hills, SA",,948,1995,Mature
"Eucalyptus perangusta Cascade, WA",,3712,2001,Mature
"Eucalyptus perangusta Lort River, WA",,148,1993,Mature
"Eucalyptus perangusta Ravensthorpe, WA",,1118,1995,Mature
"Eucalyptus percostata Devils Peak, SA",,1603,1997,Mature
"Eucalyptus perriniana subsp. Mainland Nunniong Plateau, VIC",,584,2000,Mature
"Eucalyptus perriniana subsp. perriniana Ouse, TAS",,1975,2017,Immature
"Eucalyptus persistens Pentland, QLD",,1291,1996,Mature
"Eucalyptus petiolaris 'Euky Dwarf' Cultivar, nursery origin",,,2013,Mature
"Eucalyptus petiolaris Koppio Hills 1, SA",,945,1995,Mature
"Eucalyptus petiolaris Koppio Hills 2, SA",,946,1995,Mature
"Eucalyptus petiolaris Koppio Hills 2, SA",,946,1997,Mature
"Eucalyptus petraea Cardunia Rocks, WA",,339,1993,Mature
"Eucalyptus petraea Coorow, WA",,3766,2001,Mature
"Eucalyptus petraea Frog Rock, WA",,5463,2011,Mature
"Eucalyptus petraea Lake Barlee, WA",,2761,2000,Mature
"Eucalyptus petrensis Seabird, WA",,248,1993,Mature
"Eucalyptus phaenophylla (subsp. interjacens) Desmond, WA",,196,1993,Mature
"Eucalyptus phaenophylla Lake Chinocup 1, WA",,235,1993,Mature
"Eucalyptus phaenophylla Lake Chinocup 2,  WA",,236,1993,Mature
"Eucalyptus phaenophylla Mount Day, WA",,324,1993,Mature
"Eucalyptus phenax subsp. compressa Kangaroo Island, SA",,824,1995,Mature
"Eucalyptus phenax subsp. phenax Hills Variant Darke Range, SA",,5924,2013,Immature
"Eucalyptus phenax subsp. phenax Lochiel, SA",,929,1995,Mature
"Eucalyptus phoenicea Cooktown, QLD",,1320,2011,Immature
"Eucalyptus phoenicea Oenpelli, NT",,4216,2010,Dead
"Eucalyptus phoenicea Pentecost Range, WA",,4228,2011,Dead
"Eucalyptus phoenix (E. kybeanensis × E. pauciflora) Brumby Point, VIC",,7381,2018,Immature
"Eucalyptus pilbarensis Mount Nameless, WA",,1189,1995,Mature
Eucalyptus pileata,"Newdegate, WA",191,1993,Mature
Eucalyptus pileata,"Norseman, WA",3644,2001,Mature
Eucalyptus pileata,"Verran, SA",3178,2001,Mature
Eucalyptus pileata × E. cladocalyx subsp. cladocalyx,"Koppio Hills, SA",947,1995,Matured then died
"Eucalyptus pileata Bremer Range, WA",,5477,2011,Mature
"Eucalyptus pileata Koppio Hills, SA",,947,1995,Mature
"Eucalyptus pileata Mount Holland, WA",,4669,2004,Mature
Eucalyptus pilularis,"Macksville, NSW",644,1999,Mature
Eucalyptus pimpiniana,"Lake Minigwal, WA",2738,2000,Mature
Eucalyptus pimpiniana,"Ooldea Range, SA",110,1993,Mature
Eucalyptus piperita subsp. piperita,"Pulpit Rock, NSW",627,2010,Immature
Eucalyptus piperita subsp. urceolaris,"Nowra, NSW",610,1994,Matured then died
Eucalyptus piperita subsp. urceolaris,"Sassafras, NSW",7363,2018,Immature
Eucalyptus planchoniana,"Gibraltar Range, NSW",663,1994,Mature
Eucalyptus planipes,"Mount Burges, WA",6996,2017,Immature
Eucalyptus planipes,"Norseman, WA",131,1993,Mature
Eucalyptus planipes (E. trachybasis),"Widgiemooltha 1, WA",330,1993,Mature
Eucalyptus planipes (E. trachybasis),"Widgiemooltha 2, WA",4306,2002,Mature
Eucalyptus platycorys,"Hyden, WA",3445,2001,Mature
Eucalyptus platycorys,"Lake Minigwal, WA",2733,2000,Mature
Eucalyptus platycorys,"Mount Ney, WA",3601,2001,Mature
Eucalyptus platycorys,"Zanthus, WA",3627,2001,Mature
Eucalyptus platydisca,"Mount Norcott, WA",133,1993,Mature
Eucalyptus platydisca,"Mount Norcott, WA",133,1999,Mature
Eucalyptus platyphylla,"Daly Waters, NT",1350,1996,Immature
Eucalyptus platyphylla,"Mareeba, QLD",CSIRO 12966,1999,Mature
Eucalyptus platyphylla,"Mingela, QLD",1296,1996,Mature
Eucalyptus platypus subsp. congregata,"Cascade, WA",3591,2001,Mature
Eucalyptus platypus subsp. congregata,"Ravensthorpe, WA",184,1993,Matured then died
Eucalyptus platypus subsp. platypus,"Jerramungup, WA",208,1994,Mature
Eucalyptus pleurocarpa,"Esperance, WA",154,1995,Mature
Eucalyptus pleurocarpa,"Wellstead, WA",3557,2001,Mature
Eucalyptus pluricaulis subsp. pluricaulis,"Tarin Rock, WA",3727,2001,Mature
Eucalyptus pluricaulis subsp. pluricaulis,"Williams, WA",1662,1997,Mature
Eucalyptus pluricaulis subsp. porphyrea,"Jerramungup, WA",210,1995,Mature
Eucalyptus polita,"Hyden, WA",3449,2001,Mature
Eucalyptus polita,"Marvel Loch, WA",3468,2001,Mature
Eucalyptus polita,"South Ironcap, WA",3669,2001,Mature
Eucalyptus polyanthemos subsp. marginalis,"Avoca, VIC",457,1994,Mature
Eucalyptus polyanthemos subsp. marginalis,"Torrington, VIC",6106,2013,Mature
Eucalyptus polyanthemos subsp. polyanthemos,"Adelong, NSW",2899,2000,Mature
Eucalyptus polyanthemos subsp. polyanthemos,"Rylstone, NSW",742,1994,Mature
Eucalyptus polyanthemos subsp. vestita,"Avon River, VIC",6785,2015,Immature
Eucalyptus polyanthemos subsp. vestita (subsp. longior),"Orbost, VIC",1738,1997,Mature
Eucalyptus polybractea,"Narinna Pound, SA",,1993,Mature
Eucalyptus polybractea,"West Wyalong, NSW",736,1994,Mature
Eucalyptus populnea subsp. bimbil,"Nyngan, NSW",2954,2000,Mature
Eucalyptus populnea subsp. populnea,"Tara, QLD",679,1994,Mature
Eucalyptus porosa,"Mount Wudinna, SA",482,1994,Mature
Eucalyptus portulensis,"Shute Harbour, QLD",6447,2013,Immature
Eucalyptus praetermissa,"Beaufort Inlet, WA",213,1993,Mature
Eucalyptus prava,"Wallangarra, QLD",671,1994,Mature
Eucalyptus preissiana subsp. lobata,"Lake Quallilup, WA",5492,2011,Mature
Eucalyptus preissiana subsp. lobata,"Quaggi Beach, WA",179,1993,Mature
Eucalyptus preissiana subsp. lobata,"Quaggi Beach, WA",179,1997,Mature
Eucalyptus preissiana subsp. lobata,"Stokes Inlet, WA",3710,2001,Mature
Eucalyptus preissiana subsp. preissiana,"Beaufort Inlet, WA",217,1999,Dead
Eucalyptus preissiana subsp. preissiana,"Kojonup, WA",3762,2001,Mature
Eucalyptus prolixa,"Bremer Range, WA",2281,1999,Mature
Eucalyptus prolixa,"Bremer Range, WA",2281,2002,Mature
Eucalyptus prolixa,"Ghooli, WA",6693,2015,Immature
Eucalyptus prominens,"Cape Range, WA",1184,1997,Mature
Eucalyptus prominens,"Cape Range, WA",1184,2006,Mature
Eucalyptus prominula,"Wollombi, NSW",2917,2000,Mature
Eucalyptus propinqua,"Blackdown Tableland, QLD",6457,2013,Immature
Eucalyptus propinqua,"Telegraph Point, NSW",1239,1996,Mature
Eucalyptus protensa,"Fraser Range 1, WA",126,1993,Mature
Eucalyptus protensa,"Fraser Range 2, WA",3641,2001,Mature
Eucalyptus provecta,"Newcastle Range, QLD",6413,2013,Mature
Eucalyptus proxima,"Desmond, WA",3571,2001,Mature
Eucalyptus pruiniramis (E. accedens × E. loxophleba),"Watheroo, WA",284,1993,Mature
Eucalyptus pruinosa subsp. pruinosa,"Coolullah, QLD",1329,1996,Mature
Eucalyptus pruinosa subsp. pruinosa,"Tennant Creek, NT",2440,1999,Mature
Eucalyptus pruinosa subsp. tenuata,"Beswick, NT",4203,2002,Dead
Eucalyptus pruinosa subsp. tenuata,"Timber Creek, NT",4226,2002,Dead
Eucalyptus psammatica,"Baryulgil, NSW",664,1994,Mature
Eucalyptus pseudoglobulus,"Metung, VIC",1735,1997,Mature
Eucalyptus pterocarpa,"Bronzite Ridge, WA",3656,2001,Mature
Eucalyptus pterocarpa,"Norseman, WA",137,1994,Mature
Eucalyptus pterocarpa,"Norseman, WA",137,1999,Mature
Eucalyptus pulchella,"Nugent, TAS",1984,1998,Mature
Eucalyptus pulverulenta,"Bredbo, NSW",6323,2013,Immature
Eucalyptus pulverulenta,"Lithgow, NSW",1226,1996,Mature
Eucalyptus pumila,"Pokolbin, NSW",636,1994,Mature
Eucalyptus punctata,"Nowra, NSW",612,1995,Mature
Eucalyptus punctata (E. biturbinata),"Dalveen, QLD",1253,1996,Mature
Eucalyptus purpurata,"Bandalup Hill 1, WA",3579,2001,Mature
Eucalyptus purpurata,"Bandalup Hill 2, WA",3580,2001,Matured then died
Eucalyptus pyriformis,"Dowerin, WA",1660,1997,Mature
Eucalyptus pyrocarpa,"Coast Range, NSW",2093,2010,Immature
Eucalyptus quadrangulata,"Mittagong, NSW",618,1994,Mature
Eucalyptus quadrans,"Ravensthorpe, WA",1119,1995,Mature
Eucalyptus quadrans,"Truslove, WA",1099,1995,Mature
Eucalyptus quadricostata,"Lolworth Range, QLD",5137,2010,Immature
Eucalyptus quadricostata,"Pentland, QLD",2533,1999,Mature
Eucalyptus quaerenda,"Lake Chinocup, WA",237,1993,Mature
Eucalyptus quaerenda,"Lake King, WA",3719,2001,Dead
Eucalyptus racemosa (E. sclerophylla),"Blackheath, NSW",7357,2018,Immature
Eucalyptus racemosa (E. signata),"Beerwah, QLD",718,1994,Matured then died
Eucalyptus radiata subsp. radiata,"Bright, VIC",575,1994,Dead
Eucalyptus radiata subsp. radiata,"Forth River, TAS",1959,1998,Matured then died
Eucalyptus radiata subsp. radiata,"Mongarlowe, NSW",602,2000,Mature
Eucalyptus radiata subsp. sejuncta,"Guyra, NSW",655,2000,Immature
Eucalyptus rameliana,"Cooma Well, WA",543,1994,Mature
Eucalyptus rameliana,"Cooma Well, WA",543,1998,Mature
Eucalyptus rameliana,"Lake Kerrylyn, WA",4294,2002,Mature
Eucalyptus rameliana,"Mount Methwin, WA",4287,2002,Immature
Eucalyptus raveretiana,"Mingela, QLD",1297,1996,Mature
Eucalyptus ravida (E. salubris var. glauca),"Coonana, WA",2781,2000,Mature
Eucalyptus ravida (E. salubris var. glauca),"Norseman, WA",134,1993,Mature
Eucalyptus recta,"Cadoux, WA",294,1993,Mature
Eucalyptus recta,"Cadoux, WA",294,1996,Mature
Eucalyptus recta,"Mount Yule, WA",5074,2010,Mature
Eucalyptus rubida subsp. barbigarorum,"Glen Innes, NSW",2939,2000,Mature
Eucalyptus rubida subsp. canobolensis,"Mount Canobolas, NSW",1222,1996,Mature
Eucalyptus rubida subsp. canobolensis,"Mount Canobolas, NSW",1222,1999,Mature
Eucalyptus rubida subsp. rubida,"Bathurst, NSW",1223,1996,Matured then died
Eucalyptus rubida subsp. rubida,"Jingera, NSW",6319,2013,Immature
Eucalyptus rubida subsp. rubida,"Windellama, NSW",6297,2013,Immature
Eucalyptus rubiginosa,"Isla Gorge, QLD",2114,1998,Immature
Eucalyptus rudderi,"Taree, NSW",2920,2000,Mature
Eucalyptus rudis subsp. cratyantha,"Eagle Bay 1, WA",1146,1995,Mature
Eucalyptus rudis subsp. cratyantha,"Eagle Bay 2, WA",5538,2011,Immature
Eucalyptus rudis subsp. rudis,"Pallinup River, WA",1131,1995,Mature
Eucalyptus rudis subsp. rudis,"Pallinup River, WA",1131,1997,Mature
Eucalyptus rugosa,"Fishery Bay 1, SA",3179,2001,Mature
Eucalyptus rugosa,"Fishery Bay 2, SA",5908,2013,Mature
Eucalyptus rugosa,"Kangaroo Island, SA",806,1995,Mature
Eucalyptus rugulata,"Digger Rocks, WA",3673,2001,Mature
Eucalyptus rugulata,"South Ironcap, WA",3671,2001,Mature
Eucalyptus rummeryi,"Mallanganee, NSW",1245,1996,Mature
Eucalyptus rummeryi,"Mallanganee, NSW",1245,2000,Mature
Eucalyptus rupestris,"Gardner Plateau, WA",5812,2011,Immature
Eucalyptus rupestris,"Mount Elizabeth Station, WA",1920,1998,Immature
Eucalyptus sabulosa,"Little Desert, VIC",7427,2018,Immature
Eucalyptus sabulosa,"Victoria Range, VIC",359,1996,Matured then died
Eucalyptus sabulosa × E. ovata subsp. ovata,"Victoria Range, VIC",359,1996,Mature
Eucalyptus salicola,"Baandie, WA",3457,2001,Mature
Eucalyptus salicola,"Bimbijy Station, WA",3493,2001,Mature
Eucalyptus salicola,"Dundas Nature Reserve, WA",3882,2002,Mature
