Taxon,Population,Mother tree voucher,Year planted,Current status
Corymbia zygophylla,"Exmouth Gulf, WA",1185,2000,Dead
E. goniocalyx subsp. goniocalyx intergrade),"Blackwood Range, VIC",6098,2013,Immature
E. goniocalyx subsp. goniocalyx intergrade),"Brisbane Ranges, VIC",6095,2013,Immature
E. pleurocarpa intergrade),"Badgingarra, WA",3516,2001,Mature
E. pleurocarpa intergrade),"Dongara, WA",1162,1995,Mature
Eucalyptus abdita (E. arachnaea × E. pluricaulis),"Mount Misery, WA",251,1993,Mature
Eucalyptus absita,"Badgingarra, WA",1154,1995,Mature
Eucalyptus acaciiformis,"Ebor, NSW",6217,2013,Immature
Eucalyptus acaciiformis,"Guyra, NSW",657,1994,Matured then died
Eucalyptus accedens,"Dongara, WA",1164,1995,Mature
Eucalyptus acies,"Cheyne Beach, WA",225,1994,Matured then died
Eucalyptus acies,"Cheyne Beach, WA",225,2017,Immature
Eucalyptus acmenoides,"Taree, NSW",2087,1998,Mature
Eucalyptus acmenoides (E. contracta),"Blackdown Tableland, QLD",6456,2015,Immature
Eucalyptus acmenoides (E. uvida),"Paluma, QLD",1299,1998,Mature
Eucalyptus acmenoides (E. uvida),"Paluma, QLD",1299,2010,Immature
Eucalyptus adesmophloia,"Beaufort Inlet, WA",216,1993,Mature
Eucalyptus aenea,"Sandy Hollow, NSW",2083,1998,Mature
Eucalyptus aequioperta,"Hyden, WA",3448,2001,Mature
Eucalyptus aequioperta,"Mount Holland, WA",4677,2004,Mature
Eucalyptus aequioperta,"Westonia, WA",5458,2011,Mature
Eucalyptus aequioperta × E. sheathiana,"Mount Walker, WA",307,1993,Mature
Eucalyptus agglomerata,"Nelligen, NSW",1754,1997,Mature
Eucalyptus aggregata,"Ballalaba, NSW",7365,2018,Immature
Eucalyptus aggregata,"Lithgow, NSW",1224,1996,Mature
Eucalyptus alaticaulis,"Mount William, VIC",356,1995,Mature
Eucalyptus alaticaulis (E. pyrenea),"Mount Avoca, VIC",4745,2006,Mature
Eucalyptus alatissima,"Neale Junction, WA",1530,1997,Mature
Eucalyptus alatissima,"Wanna Lakes, WA",,1992,Mature
Eucalyptus alba var. australasica,"Blyth River, NT",4211,2002,Immature
Eucalyptus alba var. australasica,"Jabiru, NT",2475,1999,Dead
Eucalyptus albens,"Melrose, SA",1676,1997,Mature
Eucalyptus albens,"Wagga Wagga, NSW",2898,2000,Mature
Eucalyptus albida,"Coorow, WA",3699,2001,Mature
